TCL.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  7158.000000  7158.000000  7158.000000  7158.000000  7.158000e+03  7158.000000   7158.000000
mean      5.015035     5.053610     4.970625     5.012271  3.414884e+06     0.001192      0.069852
std       4.321696     4.352811     4.285587     4.319144  4.866088e+06     0.016125      5.909819
min       0.394517     0.394517     0.394517     0.394517  0.000000e+00     0.000000      0.000000
25%       1.451950     1.459249     1.435214     1.445482  1.010710e+06     0.000000      0.000000
50%       2.961585     2.984624     2.936234     2.960843  2.968580e+06     0.000000      0.000000
75%       8.761060     8.841346     8.690062     8.765366  4.724282e+06     0.000000      0.000000
max      14.531781    14.579645    14.378614    14.541352  1.997900e+08     0.315000    500.000000
