BHP.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  9289.000000  9289.000000  9289.000000  9289.000000  9.289000e+03  9289.000000   9289.000000
mean     10.373599    10.448879    10.294589    10.371034  9.204677e+06     0.003695      0.000574
std      10.930317    11.013451    10.846934    10.928971  1.009685e+07     0.063912      0.029027
min       0.422758     0.422758     0.422758     0.422758  0.000000e+00     0.000000      0.000000
25%       1.850574     1.850574     1.850574     1.850574  0.000000e+00     0.000000      0.000000
50%       7.065838     7.107973     7.017217     7.069079  7.999545e+06     0.000000      0.000000
75%      14.695652    14.782769    14.594116    14.675670  1.371014e+07     0.000000      0.000000
max      49.017727    49.583391    48.978718    49.466358  3.677158e+08     2.715270      2.065100
