REA.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  6202.000000  6202.000000  6202.000000  6202.000000  6.202000e+03  6202.000000   6202.000000
mean     41.124869    41.614679    40.647930    41.140281  1.477992e+05     0.002101      0.000164
std      50.609844    51.187414    50.027616    50.614724  2.166182e+05     0.034800      0.012890
min       0.039743     0.039743     0.039743     0.039743  0.000000e+00     0.000000      0.000000
25%       2.028895     2.066651     2.001075     2.028895  2.576750e+04     0.000000      0.000000
50%      11.178610    11.316960    11.033600    11.199511  1.062830e+05     0.000000      0.000000
75%      70.035692    71.062693    69.171127    70.145153  2.129940e+05     0.000000      0.000000
max     191.118946   193.916049   188.262121   193.219254  7.362223e+06     0.890000      1.015100
