MQG.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  7070.000000  7070.000000  7070.000000  7070.000000  7.070000e+03  7070.000000   7070.000000
mean     48.461736    48.885478    48.046783    48.475219  1.073174e+06     0.010980      0.000133
std      52.273642    52.691694    51.877689    52.301463  1.057068e+06     0.153871      0.011225
min       1.950499     1.950499     1.950499     1.950499  0.000000e+00     0.000000      0.000000
25%      12.554430    12.712174    12.426334    12.589692  4.557015e+05     0.000000      0.000000
50%      25.382528    25.596547    25.059384    25.363715  8.023395e+05     0.000000      0.000000
75%      66.435355    66.988200    65.989901    66.617100  1.410176e+06     0.000000      0.000000
max     199.619995   200.951653   199.169998   199.699997  2.352275e+07     4.500000      0.943800
