RIO.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  9288.000000  9288.000000  9288.000000  9288.000000  9.288000e+03  9288.000000   9288.000000
mean     31.703656    31.966070    31.435170    31.695715  1.706983e+06     0.006473      0.000252
std      30.787356    31.070790    30.506790    30.783913  1.954731e+06     0.111915      0.017247
min       1.209145     1.209145     1.209145     1.209145  0.000000e+00     0.000000      0.000000
25%       6.639387     6.639387     6.639387     6.639387  0.000000e+00     0.000000      0.000000
50%      21.390462    21.630938    21.218158    21.471613  1.472024e+06     0.000000      0.000000
75%      43.217767    43.526638    42.851321    43.140578  2.454465e+06     0.000000      0.000000
max     131.379402   132.381520   131.001787   132.231445  3.173689e+07     3.927800      1.267900
