WES.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  9288.000000  9288.000000  9288.000000  9288.000000  9.288000e+03  9288.000000   9288.000000
mean     12.493552    12.588786    12.391084    12.491316  1.667028e+06     0.005141      0.000759
std      14.827470    14.940788    14.711925    14.831149  2.031150e+06     0.070264      0.031301
min       0.105883     0.105883     0.105883     0.105883  0.000000e+00     0.000000      0.000000
25%       0.883213     0.883213     0.883213     0.883213  0.000000e+00     0.000000      0.000000
50%       7.856917     7.914364     7.813376     7.849180  1.113578e+06     0.000000      0.000000
75%      18.735785    18.824251    18.599489    18.705399  2.585502e+06     0.000000      0.000000
max      68.000000    68.550003    67.660004    68.400002  2.309891e+07     2.422914      2.000000
