GMG.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  4853.000000  4853.000000  4853.000000  4853.000000  4.853000e+03  4853.000000   4853.000000
mean      9.386290     9.486771     9.275309     9.383685  4.333504e+06     0.001787      0.000041
std       6.755916     6.823493     6.691512     6.762490  4.408621e+06     0.021304      0.002871
min       0.436356     0.492659     0.380051     0.436356  0.000000e+00     0.000000      0.000000
25%       3.651673     3.691936     3.613884     3.651673  2.306662e+06     0.000000      0.000000
50%       7.473517     7.535712     7.391389     7.478334  3.619030e+06     0.000000      0.000000
75%      14.245445    14.429832    14.092034    14.284416  5.356333e+06     0.000000      0.000000
max      33.500000    34.070000    33.410000    33.810001  1.369641e+08     0.438189      0.200000
