CSL.AX Statistics
              Open         High          Low        Close        Volume    Dividends  Stock Splits
count  7636.000000  7636.000000  7636.000000  7636.000000  7.636000e+03  7636.000000   7636.000000
mean     73.382828    73.990735    72.694084    73.348692  1.218657e+06     0.004174      0.000393
std      97.229793    98.023898    96.311046    97.172409  1.330942e+06     0.069544      0.034331
min       0.472683     0.472683     0.472683     0.472683  0.000000e+00     0.000000      0.000000
25%       5.153572     5.204704     5.110713     5.155363  4.958710e+05     0.000000      0.000000
50%      25.874254    26.155884    25.548918    25.862818  9.181330e+05     0.000000      0.000000
75%      98.237613    99.258111    97.338753    98.317314  1.635172e+06     0.000000      0.000000
max     322.550164   325.714644   320.278938   324.051605  3.044484e+07     2.007782      3.000000
